OfficeRecordFullName,District
Christopher Marte,1
Carlina Rivera ,2
Erik D. Bottcher,3
Keith Powers ,4
Julie Menin,5
Gale A. Brewer,6
Shaun Abreu,7
Diana I. Ayala,8
Kristin Richardson Jordan,9
Carmen N. De La Rosa,10
Eric Dinowitz,11
Kevin C. Riley,12
Marjorie Velázquez,13
Pierina Ana Sanchez,14
Oswald Feliz,15
Althea V.  Stevens,16
"Rafael Salamanca, Jr.",17
Amanda Farías,18
Vickie Paladino,19
Sandra Ung,20
Francisco P. Moya,21
Tiffany Cabán,22
Linda Lee,23
James F. Gennaro,24
Shekar Krishnan,25
Julie Won,26
Nantasha M. Williams,27
Adrienne E. Adams,28
Lynn C. Schulman,29
Robert F. Holden,30
Selvena N. Brooks-Powers,31
Joann Ariola ,32
Lincoln Restler,33
Jennifer Gutiérrez,34
Crystal Hudson,35
Chi A. Ossé,36
Sandy Nurse,37
Alexa Avilés,38
Shahana K. Hanif,39
Rita C. Joseph,40
Darlene Mealy,41
Charles Barron,42
Kalman Yeger ,44
Farah N. Louis,45
Mercedes Narcisse,46
Ari Kagan,47
Inna Vernikov,48
Kamillah Hanks,49
David M. Carr,50
Joseph C. Borelli,51
Justin L. Brannan,43
